Serial Number,Year,Modification,Selling Price (INR),Place,Percentage of Population Stop Using,Percentage of Population Increased Usage,Service Type,User Satisfaction (1-5),Network Type,Average Data Usage (GB),Customer Age Group,Profits
SERIAL_0690,2015,Price Reduction,2999,Kolkata,0.4379,0.191,Call,2,3G,149.61,40+,-740.4531000000002
SERIAL_0065,2015,5G Upgrade,2879,Bangalore,0.39640000000000003,0.2833,SMS,5,3G,1.34,40+,-325.61490000000003
SERIAL_0440,2015,5G Upgrade,2999,Chennai,0.2366,0.0993,SMS,1,4G,44.49,18-25,-411.7627
SERIAL_0696,2015,Plan Update,2879,Kolkata,0.3151,0.5865,SMS,5,5G,131.5,40+,781.3606
SERIAL_0292,2015,5G Upgrade,4199,Delhi,0.4372,0.33,Call,2,2G,106.92,26-40,-450.13279999999986
SERIAL_0718,2015,New Feature,2999,Kolkata,0.3826,0.4567,SMS,1,3G,149.49,26-40,222.2258999999999
SERIAL_0283,2015,New Feature,2879,Mumbai,0.1005,0.43810000000000004,SMS,2,2G,114.01,26-40,971.9504000000002
SERIAL_0058,2015,New Feature,2879,Mumbai,0.0166,0.1061,SMS,3,4G,21.84,26-40,257.6705
SERIAL_0282,2015,New Feature,2399,Delhi,0.3064,0.5915,Data,5,3G,45.82,40+,683.9549000000002
SERIAL_0571,2015,5G Upgrade,3119,Mumbai,0.25670000000000004,0.4517,Data,4,5G,127.7,40+,608.2049999999999
SERIAL_0278,2015,Plan Update,2879,Kolkata,0.0978,0.4892,Data,3,5G,66.35,40+,1126.8406
SERIAL_0368,2015,Price Reduction,4199,Kolkata,0.247,0.2284,Data,1,2G,15.62,26-40,-78.10140000000001
SERIAL_0549,2015,New Feature,4199,Bangalore,0.0735,0.1366,Data,1,5G,17.58,18-25,264.9569
SERIAL_0130,2015,5G Upgrade,2879,Mumbai,0.2702,0.5239,Call,2,2G,130.36,18-25,730.4023000000002
SERIAL_0123,2015,5G Upgrade,4199,Bangalore,0.34509999999999996,0.0029,Data,5,2G,93.75,26-40,-1436.8977999999997
SERIAL_0451,2015,Plan Update,4199,Chennai,0.3697,0.031,Call,3,2G,89.37,26-40,-1422.2012999999997
SERIAL_0431,2015,5G Upgrade,2999,Bangalore,0.49090000000000006,0.4886,Data,4,3G,104.44,18-25,-6.8977000000002135
SERIAL_0454,2015,New Feature,4199,Chennai,0.4951,0.21170000000000003,Call,2,5G,51.98,18-25,-1189.9966
SERIAL_0429,2015,5G Upgrade,2399,Mumbai,0.0078000000000000005,0.2332,Call,3,3G,82.81,26-40,540.7345999999999
SERIAL_0118,2015,New Feature,2999,Chennai,0.2169,0.3638,SMS,4,2G,6.31,26-40,440.5531
SERIAL_0463,2015,5G Upgrade,2999,Hyderabad,0.11320000000000001,0.1219,Call,4,3G,87.08,40+,26.09129999999999
SERIAL_0115,2015,New Feature,2999,Kolkata,0.2521,0.47350000000000003,Data,5,4G,119.75,26-40,663.9786000000001
SERIAL_0474,2015,New Feature,4199,Kolkata,0.46340000000000003,0.20670000000000002,SMS,5,3G,2.87,18-25,-1077.8833
SERIAL_0487,2015,Price Reduction,3119,Kolkata,0.1816,0.3,Data,4,5G,62.89,18-25,369.28959999999995
SERIAL_0421,2015,5G Upgrade,2399,Hyderabad,0.1353,0.0546,Call,2,5G,71.5,40+,-193.5993
SERIAL_0410,2015,Price Reduction,3119,Chennai,0.2245,0.1371,Data,3,5G,60.71,26-40,-272.60060000000004
SERIAL_0109,2015,New Feature,3119,Chennai,0.17309999999999998,0.5507,Call,4,3G,16.08,40+,1177.7344
SERIAL_0399,2015,Price Reduction,2399,Hyderabad,0.2029,0.020099999999999996,Data,3,3G,33.0,18-25,-438.5372
SERIAL_0107,2015,5G Upgrade,2999,Hyderabad,0.0274,0.0002,Call,5,2G,98.85,26-40,-81.5728
SERIAL_0527,2015,Price Reduction,2999,Kolkata,0.35840000000000005,0.20370000000000002,Call,4,3G,81.9,26-40,-463.9453000000001
SERIAL_0534,2015,Plan Update,2999,Bangalore,0.09,0.0083,Call,5,2G,135.67,18-25,-245.01829999999995
SERIAL_0535,2015,5G Upgrade,2879,Delhi,0.0946,0.0661,SMS,2,3G,80.82,18-25,-82.0515
SERIAL_0537,2015,5G Upgrade,2999,Delhi,0.38420000000000004,0.0179,SMS,4,5G,62.59,40+,-1098.5337000000002
SERIAL_0541,2015,Plan Update,4199,Delhi,0.4289,0.1793,SMS,3,3G,34.17,26-40,-1048.0704
SERIAL_0140,2015,New Feature,4199,Hyderabad,0.0642,0.4901,Data,3,2G,147.08,40+,1788.3541
SERIAL_0547,2015,Price Reduction,3119,Hyderabad,0.3055,0.2504,SMS,3,2G,33.57,26-40,-171.8569
SERIAL_0567,2015,Price Reduction,2999,Bangalore,0.24230000000000002,0.33039999999999997,Data,1,3G,49.49,26-40,264.2118999999998
SERIAL_0164,2015,New Feature,2879,Chennai,0.0525,0.4838,Call,2,4G,84.24,18-25,1241.7127
SERIAL_0694,2015,Plan Update,2879,Hyderabad,0.49479999999999996,0.4303,Data,5,4G,148.26,18-25,-185.6954999999998
SERIAL_0053,2015,5G Upgrade,3119,Chennai,0.21309999999999998,0.0355,SMS,1,2G,67.62,18-25,-553.9343999999999
SERIAL_0883,2015,New Feature,2999,Bangalore,0.4216,0.5272,SMS,4,4G,6.59,18-25,316.6944000000001
SERIAL_0884,2015,New Feature,2879,Mumbai,0.2192,0.54,Call,5,5G,7.35,40+,923.5832
SERIAL_0237,2015,Price Reduction,4199,Delhi,0.34240000000000004,0.3971,SMS,5,4G,76.4,18-25,229.68529999999987
SERIAL_0028,2015,Price Reduction,2879,Chennai,0.4926,0.076,Call,1,3G,84.98,40+,-1199.3913999999997
SERIAL_0886,2015,Price Reduction,2879,Kolkata,0.1383,0.24539999999999998,SMS,4,5G,125.64,26-40,308.3408999999999
SERIAL_0177,2015,5G Upgrade,2399,Bangalore,0.0981,0.039900000000000005,Call,4,4G,37.82,40+,-139.6218
SERIAL_0901,2015,Plan Update,2879,Hyderabad,0.2772,0.5072,SMS,5,3G,116.05,26-40,662.1699999999998
SERIAL_0022,2015,Plan Update,2879,Bangalore,0.49670000000000003,0.0182,Call,1,4G,14.14,18-25,-1377.6015000000002
SERIAL_0021,2015,Price Reduction,2879,Delhi,0.3442,0.0253,Data,4,2G,139.84,26-40,-918.1131
SERIAL_0911,2015,5G Upgrade,2879,Hyderabad,0.3734,0.44329999999999997,SMS,4,2G,58.43,18-25,201.2420999999997
SERIAL_0225,2015,Price Reduction,2999,Bangalore,0.1454,0.5787,SMS,5,2G,101.68,40+,1299.4667
SERIAL_0224,2015,5G Upgrade,3119,Bangalore,0.1482,0.1449,Data,4,5G,71.68,26-40,-10.292699999999968
SERIAL_0017,2015,Price Reduction,2879,Hyderabad,0.2884,0.5202,Data,3,2G,21.55,40+,667.3522
SERIAL_0183,2015,Plan Update,2999,Delhi,0.3914,0.2075,SMS,3,3G,101.05,18-25,-551.5161
SERIAL_0014,2015,Price Reduction,2879,Delhi,0.2677,0.5193,Call,1,5G,30.65,18-25,724.3563999999999
SERIAL_0949,2015,5G Upgrade,2999,Mumbai,0.2271,0.5639,Data,1,3G,69.03,40+,1010.0631999999999
SERIAL_0953,2015,New Feature,3119,Chennai,0.2932,0.187,SMS,5,3G,113.51,18-25,-331.2378
SERIAL_0220,2015,New Feature,4199,Mumbai,0.027000000000000003,0.4179,Data,5,2G,64.46,26-40,1641.3890999999999
SERIAL_0962,2015,Price Reduction,3119,Bangalore,0.4111,0.1329,Data,2,5G,75.01,40+,-867.7058000000001
SERIAL_0216,2015,Plan Update,2399,Chennai,0.3843,0.5965,Call,3,4G,46.04,18-25,509.06780000000015
SERIAL_0213,2015,New Feature,2879,Mumbai,0.2595,0.25489999999999996,Data,3,2G,111.16,40+,-13.243400000000179
SERIAL_0982,2015,Plan Update,2399,Kolkata,0.2304,0.5904,SMS,2,2G,69.55,26-40,863.64
SERIAL_0984,2015,Price Reduction,2879,Delhi,0.4582,0.0412,Data,4,5G,1.08,26-40,-1200.543
SERIAL_0990,2015,Plan Update,4199,Bangalore,0.44939999999999997,0.5021,SMS,3,3G,141.84,26-40,221.2873000000002
SERIAL_0997,2015,Price Reduction,2999,Hyderabad,0.31370000000000003,0.44670000000000004,Data,4,5G,95.59,18-25,398.8670000000001
SERIAL_0881,2015,Plan Update,4199,Hyderabad,0.061500000000000006,0.5642,Data,4,5G,48.69,26-40,2110.8373
SERIAL_0034,2015,Plan Update,2879,Bangalore,0.1507,0.3513,SMS,2,2G,112.61,40+,577.5274
SERIAL_0127,2015,Price Reduction,2999,Chennai,0.1149,0.5758,SMS,4,5G,142.37,40+,1382.2391
SERIAL_0245,2015,New Feature,2879,Hyderabad,0.423,0.4457,SMS,1,3G,99.88,18-25,65.35329999999999
SERIAL_0780,2015,Price Reduction,2999,Chennai,0.3032,0.21660000000000001,Data,3,3G,37.14,26-40,-259.7134
SERIAL_0782,2015,Plan Update,2879,Delhi,0.4119,0.3004,Call,3,5G,50.37,18-25,-321.0084999999999
SERIAL_0808,2015,5G Upgrade,2399,Delhi,0.39299999999999996,0.1338,SMS,4,3G,9.31,18-25,-621.8208
SERIAL_0807,2015,5G Upgrade,4199,Mumbai,0.46649999999999997,0.5195000000000001,SMS,5,3G,122.99,40+,222.54700000000025
SERIAL_0817,2015,Price Reduction,3119,Delhi,0.4678,0.08070000000000001,SMS,4,2G,10.31,40+,-1207.3649
SERIAL_0803,2015,Plan Update,2399,Kolkata,0.1642,0.0181,SMS,3,4G,58.62,18-25,-350.49390000000005
SERIAL_0798,2015,New Feature,2399,Bangalore,0.4664,0.19210000000000002,SMS,2,3G,45.66,18-25,-658.0456999999999
SERIAL_0254,2015,New Feature,2879,Chennai,0.099,0.4341,SMS,4,2G,15.52,26-40,964.7529
SERIAL_0045,2015,5G Upgrade,4199,Bangalore,0.304,0.5167,Call,2,2G,34.3,40+,893.1273000000003
SERIAL_0799,2015,Plan Update,2399,Bangalore,0.375,0.2619,Call,4,5G,66.34,40+,-271.3268999999999
SERIAL_0222,2016,Price Reduction,4199,Chennai,0.2314,0.08810000000000001,SMS,5,4G,143.06,26-40,-601.7167
SERIAL_0415,2016,Price Reduction,2399,Mumbai,0.25170000000000003,0.2883,Call,4,5G,35.8,40+,87.8033999999999
SERIAL_0246,2016,Plan Update,4199,Mumbai,0.248,0.4018,SMS,2,3G,87.63,26-40,645.8061999999998
SERIAL_0256,2016,5G Upgrade,2879,Chennai,0.2698,0.1396,SMS,3,2G,65.84,26-40,-374.84579999999994
SERIAL_0288,2016,Price Reduction,4199,Kolkata,0.1445,0.056799999999999996,SMS,3,3G,3.15,18-25,-368.2523
SERIAL_0268,2016,New Feature,4199,Bangalore,0.37799999999999995,0.27440000000000003,Call,3,3G,126.39,40+,-435.0163999999995
SERIAL_0273,2016,5G Upgrade,2399,Hyderabad,0.3144,0.09720000000000001,Data,3,4G,131.71,26-40,-521.0628
SERIAL_0209,2016,Price Reduction,3119,Chennai,0.4459,0.0191,Data,2,3G,66.43,18-25,-1331.1892000000003
SERIAL_0439,2016,Plan Update,2879,Bangalore,0.31129999999999997,0.1119,Call,3,2G,131.38,26-40,-574.0726
SERIAL_0217,2016,5G Upgrade,4199,Mumbai,0.4625,0.5257999999999999,Data,2,4G,5.46,40+,265.79669999999965
SERIAL_0422,2016,Price Reduction,2999,Delhi,0.1764,0.5315,Data,2,5G,21.53,18-25,1064.9449
SERIAL_0304,2016,5G Upgrade,2399,Bangalore,0.2605,0.12279999999999999,Data,5,2G,17.29,18-25,-330.3423000000001
SERIAL_0394,2016,Plan Update,2999,Kolkata,0.3626,0.4111,Call,4,3G,38.3,26-40,145.45150000000012
SERIAL_0240,2016,Price Reduction,4199,Kolkata,0.24989999999999998,0.21899999999999997,Call,2,4G,38.96,26-40,-129.7491
SERIAL_0342,2016,New Feature,2399,Mumbai,0.0475,0.1709,Data,2,3G,138.63,26-40,296.0366
SERIAL_0349,2016,5G Upgrade,3119,Chennai,0.295,0.166,Data,3,2G,3.77,26-40,-402.3509999999999
SERIAL_0340,2016,Plan Update,2879,Mumbai,0.1051,0.28,Data,1,5G,2.03,26-40,503.5371000000001
SERIAL_0335,2016,Plan Update,2399,Chennai,0.3153,0.2021,SMS,1,4G,96.5,18-25,-271.56680000000006
SERIAL_0321,2016,Price Reduction,2399,Chennai,0.445,0.16390000000000002,Call,4,3G,39.5,40+,-674.3589
SERIAL_0275,2016,5G Upgrade,2399,Mumbai,0.06309999999999999,0.512,Call,1,2G,54.89,40+,1076.9111
SERIAL_0247,2016,New Feature,4199,Bangalore,0.2722,0.4805,Call,2,4G,148.42,26-40,874.6517000000001
SERIAL_0397,2016,Price Reduction,2999,Bangalore,0.2768,0.0438,SMS,5,4G,86.22,26-40,-698.767
SERIAL_0251,2016,Plan Update,3119,Chennai,0.33909999999999996,0.3979,Data,4,5G,101.8,18-25,183.3972000000001
SERIAL_0384,2016,5G Upgrade,3119,Delhi,0.42719999999999997,0.36119999999999997,Data,5,2G,65.78,26-40,-205.85400000000004
SERIAL_0393,2016,Plan Update,2399,Hyderabad,0.38799999999999996,0.5868,Data,4,4G,96.62,40+,476.9212
SERIAL_0235,2016,Plan Update,2999,Mumbai,0.5,0.2122,SMS,2,4G,76.04,26-40,-863.1122
SERIAL_0311,2016,Price Reduction,2399,Mumbai,0.2847,0.384,Call,3,4G,32.78,40+,238.22069999999997
SERIAL_0229,2016,Plan Update,2879,Chennai,0.1604,0.4639,Call,4,4G,65.65,26-40,873.7764999999999
SERIAL_0310,2016,Price Reduction,2399,Delhi,0.0673,0.3175,SMS,3,4G,67.14,26-40,600.2298000000001
SERIAL_0253,2016,Price Reduction,4199,Mumbai,0.3518,0.36619999999999997,SMS,2,4G,116.56,40+,60.46559999999977
SERIAL_0306,2016,New Feature,2879,Chennai,0.2493,0.36090000000000005,Data,3,2G,111.14,40+,321.2964000000002
SERIAL_0312,2016,5G Upgrade,2879,Chennai,0.3456,0.5378000000000001,Call,3,5G,106.53,40+,553.3438000000001
SERIAL_0367,2016,Price Reduction,2399,Delhi,0.46990000000000004,0.2314,SMS,1,5G,50.85,18-25,-572.1615000000002
SERIAL_0555,2016,New Feature,2999,Mumbai,0.04650000000000001,0.20190000000000002,SMS,1,4G,130.91,26-40,466.0446
SERIAL_0448,2016,New Feature,2879,Delhi,0.3782,0.4042,Data,3,3G,108.06,40+,74.85400000000004
SERIAL_0747,2016,New Feature,4199,Hyderabad,0.401,0.10710000000000001,SMS,3,4G,92.66,18-25,-1234.0861000000002
SERIAL_0748,2016,Plan Update,2999,Hyderabad,0.4508,0.36060000000000003,Data,1,5G,91.53,18-25,-270.5097999999998
SERIAL_0770,2016,5G Upgrade,2999,Bangalore,0.1348,0.2891,Data,2,3G,103.33,18-25,462.7457000000001
SERIAL_0777,2016,Price Reduction,2399,Hyderabad,0.3348,0.3114,Call,3,5G,93.43,26-40,-56.13659999999993
SERIAL_0790,2016,Plan Update,4199,Bangalore,0.1032,0.5845,SMS,3,3G,85.36,26-40,2020.9787000000001
SERIAL_0794,2016,5G Upgrade,3119,Kolkata,0.2707,0.1852,Call,4,4G,128.45,26-40,-266.67449999999997
SERIAL_0795,2016,Price Reduction,2999,Delhi,0.1244,0.1114,Data,5,4G,32.62,26-40,-38.98700000000002
SERIAL_0811,2016,Plan Update,4199,Bangalore,0.09210000000000002,0.2332,SMS,2,2G,21.97,26-40,592.4788999999998
SERIAL_0812,2016,Plan Update,4199,Mumbai,0.0527,0.4314,SMS,3,4G,82.73,40+,1590.1613
SERIAL_0835,2016,5G Upgrade,2399,Bangalore,0.0381,0.39020000000000005,Call,4,3G,46.03,40+,844.6879000000001
SERIAL_0836,2016,New Feature,3119,Hyderabad,0.2699,0.3861,Data,2,3G,148.51,26-40,362.42779999999993
SERIAL_0848,2016,Price Reduction,2879,Bangalore,0.4421,0.2528,SMS,3,2G,95.46,26-40,-544.9947
SERIAL_0869,2016,New Feature,2879,Chennai,0.0304,0.5479999999999999,SMS,2,3G,74.56,18-25,1490.1703999999997
SERIAL_0880,2016,Price Reduction,3119,Bangalore,0.10279999999999999,0.3908,Call,2,3G,128.1,40+,898.2719999999999
SERIAL_0885,2016,New Feature,4199,Bangalore,0.3195,0.5897,Data,2,5G,87.7,40+,1134.5697999999998
SERIAL_0897,2016,New Feature,2999,Bangalore,0.2749,0.0759,Call,3,3G,46.58,18-25,-596.8009999999999
SERIAL_0898,2016,Plan Update,2999,Chennai,0.17620000000000002,0.0021,SMS,4,5G,19.95,18-25,-522.1259
SERIAL_0906,2016,5G Upgrade,4199,Delhi,0.32520000000000004,0.0816,Data,2,5G,91.75,18-25,-1022.8764000000001
SERIAL_0913,2016,Price Reduction,2879,Mumbai,0.2777,0.5711999999999999,Call,5,4G,118.59,18-25,844.9864999999998
SERIAL_0921,2016,Plan Update,2999,Kolkata,0.12369999999999999,0.11900000000000001,SMS,1,2G,121.47,40+,-14.095299999999952
SERIAL_0926,2016,5G Upgrade,2999,Delhi,0.2565,0.1093,Call,5,2G,58.73,18-25,-441.4528000000001
SERIAL_0940,2016,5G Upgrade,2879,Delhi,0.19219999999999998,0.24710000000000001,SMS,4,4G,104.73,18-25,158.0571000000001
SERIAL_0954,2016,5G Upgrade,2879,Mumbai,0.3201,0.0098,Data,4,4G,145.02,40+,-893.3537
SERIAL_0959,2016,5G Upgrade,3119,Bangalore,0.3143,0.5851,SMS,1,2G,13.94,26-40,844.6251999999998
SERIAL_0965,2016,Plan Update,2999,Chennai,0.2836,0.32420000000000004,Call,1,2G,67.59,40+,121.75940000000003
SERIAL_0971,2016,5G Upgrade,2999,Delhi,0.0755,0.0391,Call,3,5G,82.69,40+,-109.16359999999999
SERIAL_0987,2016,Price Reduction,2999,Mumbai,0.0395,0.5839,Data,2,3G,21.9,18-25,1632.6556
SERIAL_0741,2016,Plan Update,3119,Bangalore,0.3042,0.1493,SMS,1,4G,122.58,40+,-483.1331000000001
SERIAL_0721,2016,Price Reduction,2399,Delhi,0.12279999999999999,0.0753,SMS,3,2G,118.09,18-25,-113.95249999999999
SERIAL_0714,2016,5G Upgrade,2879,Bangalore,0.4595,0.24760000000000001,Call,5,5G,134.71,40+,-610.0600999999999
SERIAL_0686,2016,5G Upgrade,2999,Hyderabad,0.1307,0.0068000000000000005,Call,5,3G,37.17,18-25,-371.57610000000005
SERIAL_0449,2016,Price Reduction,2879,Kolkata,0.3403,0.1917,Data,5,2G,14.83,26-40,-427.8194
SERIAL_0453,2016,Price Reduction,3119,Chennai,0.0872,0.3427,Data,2,5G,119.5,18-25,796.9045
SERIAL_0461,2016,5G Upgrade,4199,Mumbai,0.1392,0.40700000000000003,Data,3,3G,59.57,40+,1124.4922000000001
SERIAL_0472,2016,5G Upgrade,2999,Delhi,0.2002,0.5839,Call,1,3G,74.37,18-25,1150.7163
SERIAL_0488,2016,Price Reduction,2399,Kolkata,0.16699999999999998,0.054900000000000004,Call,5,4G,93.96,26-40,-268.92789999999997
SERIAL_0496,2016,5G Upgrade,2879,Chennai,0.26780000000000004,0.3309,SMS,2,2G,83.24,40+,181.66489999999988
SERIAL_0507,2016,New Feature,3119,Hyderabad,0.2784,0.39020000000000005,Data,5,3G,78.21,40+,348.70420000000024
SERIAL_0508,2016,5G Upgrade,2999,Mumbai,0.4975,0.2511,Data,4,5G,142.01,40+,-738.9536
SERIAL_0521,2016,Plan Update,4199,Bangalore,0.0393,0.409,SMS,5,2G,20.44,26-40,1552.3702999999998
SERIAL_0528,2016,5G Upgrade,2879,Delhi,0.4514,0.2048,SMS,2,2G,21.9,40+,-709.9614
SERIAL_0544,2016,Price Reduction,2999,Bangalore,0.08289999999999999,0.2229,SMS,5,3G,129.18,18-25,419.86
SERIAL_0553,2016,5G Upgrade,2879,Kolkata,0.0139,0.4941,SMS,5,4G,75.37,18-25,1382.4958
SERIAL_0196,2016,5G Upgrade,2879,Hyderabad,0.0356,0.0518,SMS,1,4G,135.73,26-40,46.63979999999998
SERIAL_0445,2016,Price Reduction,3119,Bangalore,0.0426,0.33030000000000004,Call,1,4G,31.31,26-40,897.3363000000002
SERIAL_0570,2016,5G Upgrade,4199,Mumbai,0.20329999999999998,0.014499999999999999,Data,1,2G,113.22,18-25,-792.7711999999999
SERIAL_0595,2016,New Feature,2879,Hyderabad,0.1795,0.5466,Data,1,5G,28.68,40+,1056.8809
SERIAL_0604,2016,Price Reduction,2999,Hyderabad,0.4468,0.0553,Call,4,5G,142.92,40+,-1174.1084999999998
SERIAL_0610,2016,Plan Update,2999,Hyderabad,0.43420000000000003,0.1934,Call,1,5G,2.72,18-25,-722.1592
SERIAL_0621,2016,Plan Update,2879,Hyderabad,0.3721,0.18530000000000002,Data,5,5G,89.89,40+,-537.7971999999999
SERIAL_0624,2016,Plan Update,3119,Bangalore,0.22769999999999999,0.3085,Call,1,3G,16.45,18-25,252.01520000000005
SERIAL_0630,2016,New Feature,4199,Kolkata,0.32280000000000003,0.1067,Call,2,2G,68.1,18-25,-907.4039
SERIAL_0635,2016,Plan Update,2999,Mumbai,0.36590000000000006,0.5451,Call,4,2G,94.49,26-40,537.4207999999999
SERIAL_0642,2016,New Feature,2399,Delhi,0.4061,0.36469999999999997,Call,2,2G,95.56,26-40,-99.31860000000017
SERIAL_0645,2016,5G Upgrade,3119,Mumbai,0.3934,0.3281,SMS,4,5G,47.36,40+,-203.6707
SERIAL_0648,2016,Plan Update,2879,Hyderabad,0.3697,0.1859,SMS,2,5G,34.64,18-25,-529.1601999999999
SERIAL_0662,2016,5G Upgrade,2879,Delhi,0.12300000000000001,0.16899999999999998,Data,3,5G,13.0,26-40,132.4339999999999
SERIAL_0673,2016,Price Reduction,2879,Bangalore,0.1815,0.201,Data,2,3G,10.31,26-40,56.14050000000009
SERIAL_0675,2016,Plan Update,4199,Chennai,0.16329999999999997,0.534,SMS,5,2G,130.88,26-40,1556.5693
SERIAL_0579,2016,Price Reduction,2399,Hyderabad,0.0325,0.4537,Call,2,5G,149.92,26-40,1010.4588000000001
SERIAL_0195,2016,Price Reduction,2879,Chennai,0.2658,0.354,SMS,2,3G,112.25,26-40,253.92780000000005
SERIAL_1000,2016,Price Reduction,2999,Kolkata,0.10529999999999999,0.1266,Data,1,5G,38.29,18-25,63.87869999999998
SERIAL_0038,2016,Plan Update,2879,Mumbai,0.3917,0.516,Data,4,3G,22.16,40+,357.8597000000002
SERIAL_0149,2016,New Feature,2879,Mumbai,0.33159999999999995,0.4421,SMS,2,4G,41.97,26-40,318.12950000000023
SERIAL_0138,2016,Plan Update,2399,Chennai,0.3131,0.131,SMS,2,5G,66.46,18-25,-436.8579
SERIAL_0186,2016,Price Reduction,2399,Delhi,0.39289999999999997,0.48460000000000003,Call,5,2G,114.2,40+,219.98829999999998
SERIAL_0018,2016,Plan Update,3119,Mumbai,0.15130000000000002,0.35969999999999996,Call,1,5G,39.85,40+,649.9995999999999
SERIAL_0114,2016,New Feature,4199,Hyderabad,0.2254,0.0213,SMS,2,4G,80.96,40+,-857.0158999999999
SERIAL_0180,2016,5G Upgrade,3119,Hyderabad,0.3037,0.0206,Data,5,3G,135.1,40+,-882.9889000000001
SERIAL_0141,2016,5G Upgrade,3119,Chennai,0.2245,0.1716,Data,5,2G,75.81,26-40,-164.99509999999998
SERIAL_0030,2016,New Feature,2879,Bangalore,0.30879999999999996,0.4213,Call,2,2G,93.55,40+,323.88750000000016
SERIAL_0083,2016,5G Upgrade,2399,Chennai,0.34119999999999995,0.5659000000000001,SMS,3,2G,10.38,26-40,539.0553000000003
SERIAL_0155,2016,New Feature,2999,Chennai,0.2992,0.3297,SMS,2,2G,132.05,26-40,91.46949999999993
SERIAL_0156,2016,Price Reduction,2879,Kolkata,0.34590000000000004,0.073,SMS,1,3G,66.72,26-40,-785.6791000000001
SERIAL_0124,2016,Plan Update,2999,Kolkata,0.11869999999999999,0.0971,Data,5,2G,86.19,26-40,-64.77839999999998
SERIAL_0076,2016,New Feature,4199,Mumbai,0.3394,0.1653,SMS,5,5G,98.24,26-40,-731.0459
SERIAL_0073,2016,New Feature,4199,Delhi,0.2704,0.45280000000000004,SMS,1,5G,90.85,18-25,765.8976000000002
SERIAL_0116,2016,Plan Update,3119,Bangalore,0.4064,0.18239999999999998,SMS,5,2G,30.1,18-25,-698.6560000000001
SERIAL_0188,2016,New Feature,2999,Kolkata,0.09,0.0944,Data,1,3G,105.09,40+,13.195600000000013
SERIAL_0085,2016,5G Upgrade,2399,Hyderabad,0.4996,0.29410000000000003,SMS,4,3G,59.07,18-25,-492.9944999999998
SERIAL_0023,2016,Plan Update,4199,Delhi,0.2384,0.3619,Call,2,3G,114.63,40+,518.5764999999999
SERIAL_0026,2016,Plan Update,2399,Bangalore,0.2494,0.4043,Call,1,3G,122.61,40+,371.6051
SERIAL_0142,2016,New Feature,2399,Mumbai,0.12029999999999999,0.5296,Data,2,5G,145.96,18-25,981.9106999999999
SERIAL_0024,2016,New Feature,3119,Kolkata,0.1993,0.3044,Data,4,4G,28.37,26-40,327.8068999999999
SERIAL_0112,2016,Plan Update,2999,Mumbai,0.0166,0.3872,Call,3,3G,9.17,40+,1111.4294
SERIAL_0144,2016,Plan Update,2879,Chennai,0.4021,0.20010000000000003,SMS,2,3G,46.7,40+,-581.5579999999999
SERIAL_0147,2016,New Feature,3119,Bangalore,0.0667,0.1393,Call,2,2G,132.11,18-25,226.4394
SERIAL_0305,2017,New Feature,2999,Hyderabad,0.0254,0.0702,Data,2,5G,85.21,18-25,134.3552
SERIAL_0767,2017,Price Reduction,2399,Chennai,0.4388,0.5581,Data,2,2G,89.62,18-25,286.2007000000001
